Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender,Month,Trip Week
1311,2020-04-01 11:51:58.488,2020-04-01 12:13:49.949,3203,Hamilton Park,40.727595965999996,-74.044247311,3678,Fairmount Ave,40.72572613742557,-74.07195925712584,42109,Subscriber,1994,2,April,Wednesday
743,2020-04-01 11:58:26.444,2020-04-01 12:10:49.896,3481,York St,40.71649,-74.04105,3275,Columbus Drive,40.71835519823214,-74.03891444206238,42117,Subscriber,1986,1,April,Wednesday
3922,2020-04-01 12:07:26.229,2020-04-01 13:12:48.561,3268,Lafayette Park,40.71346382669195,-74.06285852193831,3198,Heights Elevator,40.748715945380226,-74.04044330120088,42246,Subscriber,1971,2,April,Wednesday
775,2020-04-01 12:14:07.872,2020-04-01 12:27:03.133,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281,3184,Paulus Hook,40.7141454,-74.0335519,42331,Subscriber,1977,2,April,Wednesday
4607,2020-04-01 12:19:52.714,2020-04-01 13:36:40.388,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,42349,Subscriber,1987,2,April,Wednesday
237,2020-04-01 12:20:38.700,2020-04-01 12:24:36.386,3185,City Hall,40.717732500000004,-74.04384499999999,3272,Jersey & 3rd,40.723331586464354,-74.04595255851744,42224,Subscriber,1985,1,April,Wednesday
304,2020-04-01 12:29:19.719,2020-04-01 12:34:23.914,3639,Harborside,40.71925170000001,-74.034234,3211,Newark Ave,40.72152515,-74.046304543,42213,Subscriber,1986,1,April,Wednesday
1767,2020-04-01 12:35:43.489,2020-04-01 13:05:10.522,3192,Liberty Light Rail,40.711242299999995,-74.0557013,3192,Liberty Light Rail,40.711242299999995,-74.0557013,42155,Subscriber,1978,1,April,Wednesday
696,2020-04-01 12:39:03.697,2020-04-01 12:50:40.179,3639,Harborside,40.71925170000001,-74.034234,3639,Harborside,40.71925170000001,-74.034234,42299,Subscriber,1988,1,April,Wednesday
433,2020-04-01 12:40:13.717,2020-04-01 12:47:27.561,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3186,Grove St PATH,40.71958611647166,-74.0431174635887,25963,Subscriber,1989,0,April,Wednesday
2077,2020-04-01 12:42:44.442,2020-04-01 13:17:21.639,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42276,Customer,1969,0,April,Wednesday
1200,2020-04-01 12:49:01.109,2020-04-01 13:09:01.140,3639,Harborside,40.71925170000001,-74.034234,3192,Liberty Light Rail,40.711242299999995,-74.0557013,42528,Subscriber,1970,1,April,Wednesday
1501,2020-04-01 12:50:45.046,2020-04-01 13:15:46.655,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,3681,Grand St,40.71517767732029,-74.03768330812454,42131,Subscriber,1962,1,April,Wednesday
1368,2020-04-01 12:50:52.148,2020-04-01 13:13:40.339,3678,Fairmount Ave,40.72572613742557,-74.07195925712584,3195,Sip Ave,40.73089709786179,-74.06391263008119,42420,Customer,2002,2,April,Wednesday
431,2020-04-01 12:54:32.070,2020-04-01 13:01:43.767,3212,Christ Hospital,40.734785818,-74.050443636,3198,Heights Elevator,40.748715945380226,-74.04044330120088,42324,Subscriber,1988,1,April,Wednesday
548,2020-04-01 12:54:41.523,2020-04-01 13:03:50.387,3186,Grove St PATH,40.71958611647166,-74.0431174635887,3638,Washington St,40.7242941,-74.0354826,42229,Subscriber,1989,0,April,Wednesday
463,2020-04-01 12:54:43.320,2020-04-01 13:02:26.994,3679,Bergen Ave,40.72210378668603,-74.07145500183104,3195,Sip Ave,40.73089709786179,-74.06391263008119,42494,Subscriber,1990,1,April,Wednesday
165,2020-04-01 12:58:55.655,2020-04-01 13:01:41.247,3481,York St,40.71649,-74.04105,3213,Van Vorst Park,40.71848892,-74.047726625,42407,Subscriber,1979,1,April,Wednesday
2172,2020-04-01 13:01:24.956,2020-04-01 13:37:37.104,3192,Liberty Light Rail,40.711242299999995,-74.0557013,3192,Liberty Light Rail,40.711242299999995,-74.0557013,42181,Customer,1982,1,April,Wednesday
481,2020-04-01 13:03:54.324,2020-04-01 13:11:55.953,3205,JC Medical Center,40.71653978099194,-74.0496379137039,3225,Baldwin at Montgomery,40.7236589,-74.0641943,42303,Subscriber,1989,1,April,Wednesday
138,2020-04-01 13:04:04.925,2020-04-01 13:06:22.942,3187,Warren St,40.721123600000006,-74.03805095,3273,Manila & 1st,40.72165072487999,-74.04288411140442,42372,Subscriber,1983,1,April,Wednesday
908,2020-04-01 13:04:14.811,2020-04-01 13:19:23.601,3201,Dey St,40.737711,-74.066921,3279,Dixon Mills,40.72163014263835,-74.04996782541275,42356,Subscriber,1995,0,April,Wednesday
981,2020-04-01 13:05:00.514,2020-04-01 13:21:21.527,3275,Columbus Drive,40.71835519823214,-74.03891444206238,3273,Manila & 1st,40.72165072487999,-74.04288411140442,42117,Customer,1969,0,April,Wednesday
2319,2020-04-01 13:05:04.856,2020-04-01 13:43:44.283,3681,Grand St,40.71517767732029,-74.03768330812454,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,42611,Subscriber,1961,1,April,Wednesday
981,2020-04-01 13:05:09.566,2020-04-01 13:21:30.590,3275,Columbus Drive,40.71835519823214,-74.03891444206238,3273,Manila & 1st,40.72165072487999,-74.04288411140442,41685,Customer,1969,0,April,Wednesday
1019,2020-04-01 13:06:48.419,2020-04-01 13:23:48.354,3694,Jackson Square,40.71113,-74.0789,3275,Columbus Drive,40.71835519823214,-74.03891444206238,42148,Subscriber,1988,1,April,Wednesday
